 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.53799571e-09  3.42766528e-08 
 1.02305973e+00  1.53473941e-09  3.42040809e-08 
 1.04665121e+00  1.53154981e-09  3.41329957e-08 
 1.07078670e+00  1.52842568e-09  3.40633694e-08 
 1.09547876e+00  1.52536577e-09  3.39951747e-08 
 1.12074020e+00  1.52236890e-09  3.39283846e-08 
 1.14658417e+00  1.51943386e-09  3.38629726e-08 
 1.17302409e+00  1.51655948e-09  3.37989126e-08 
 1.20007371e+00  1.51374462e-09  3.37361790e-08 
 1.22774708e+00  1.51098814e-09  3.36747465e-08 
 1.25605860e+00  1.50828892e-09  3.36145902e-08 
 1.28502297e+00  1.50564587e-09  3.35556855e-08 
 1.31465525e+00  1.50305789e-09  3.34980085e-08 
 1.34497085e+00  1.50052394e-09  3.34415353e-08 
 1.37598551e+00  1.49804296e-09  3.33862428e-08 
 1.40771537e+00  1.49561392e-09  3.33321079e-08 
 1.44017690e+00  1.49323582e-09  3.32791081e-08 
 1.47338699e+00  1.49090765e-09  3.32272212e-08 
 1.50736290e+00  1.48862844e-09  3.31764254e-08 
 1.54212228e+00  1.48639722e-09  3.31266992e-08 
 1.57768320e+00  1.48421306e-09  3.30780217e-08 
 1.61406415e+00  1.48207501e-09  3.30303720e-08 
 1.65128404e+00  1.47998217e-09  3.29837298e-08 
 1.68936220e+00  1.47793364e-09  3.29380750e-08 
 1.72831844e+00  1.47592854e-09  3.28933881e-08 
 1.76817299e+00  1.47396599e-09  3.28496497e-08 
 1.80894658e+00  1.47204515e-09  3.28068408e-08 
 1.85066040e+00  1.47016518e-09  3.27649427e-08 
 1.89333613e+00  1.46832526e-09  3.27239372e-08 
 1.93699595e+00  1.46652458e-09  3.26838063e-08 
 1.98166255e+00  1.46476235e-09  3.26445322e-08 
 2.02735916e+00  1.46303779e-09  3.26060976e-08 
 2.07410951e+00  1.46135013e-09  3.25684855e-08 
 2.12193792e+00  1.45969863e-09  3.25316791e-08 
 2.17086923e+00  1.45808254e-09  3.24956621e-08 
 2.22092889e+00  1.45650115e-09  3.24604183e-08 
 2.27214291e+00  1.45495374e-09  3.24259318e-08 
 2.32453791e+00  1.45343962e-09  3.23921872e-08 
 2.37814113e+00  1.45195810e-09  3.23591692e-08 
 2.43298042e+00  1.45050851e-09  3.23268628e-08 
 2.48908429e+00  1.44909019e-09  3.22952533e-08 
 2.54648190e+00  1.44770250e-09  3.22643264e-08 
 2.60520309e+00  1.44634480e-09  3.22340680e-08 
 2.66527837e+00  1.44501647e-09  3.22044640e-08 
 2.72673897e+00  1.44371690e-09  3.21755010e-08 
 2.78961683e+00  1.44244548e-09  3.21471657e-08 
 2.85394464e+00  1.44120165e-09  3.21194448e-08 
 2.91975583e+00  1.43998481e-09  3.20923256e-08 
 2.98708461e+00  1.43879440e-09  3.20657956e-08 
 3.05596598e+00  1.43762988e-09  3.20398423e-08 
 3.12643573e+00  1.43649069e-09  3.20144536e-08 
 3.19853049e+00  1.43537630e-09  3.19896177e-08 
 3.27228774e+00  1.43428619e-09  3.19653230e-08 
 3.34774581e+00  1.43321986e-09  3.19415580e-08 
 3.42494392e+00  1.43217679e-09  3.19183116e-08 
 3.50392221e+00  1.43115650e-09  3.18955728e-08 
 3.58472171e+00  1.43015850e-09  3.18733308e-08 
 3.66738442e+00  1.42918232e-09  3.18515752e-08 
 3.75195331e+00  1.42822750e-09  3.18302955e-08 
 3.83847234e+00  1.42729359e-09  3.18094818e-08 
 3.92698648e+00  1.42638013e-09  3.17891240e-08 
 4.01754173e+00  1.42548670e-09  3.17692125e-08 
 4.11018515e+00  1.42461286e-09  3.17497377e-08 
 4.20496491e+00  1.42375821e-09  3.17306903e-08 
 4.30193027e+00  1.42292232e-09  3.17120612e-08 
 4.40113162e+00  1.42210479e-09  3.16938414e-08 
 4.50262052e+00  1.42130524e-09  3.16760221e-08 
 4.60644974e+00  1.42052328e-09  3.16585948e-08 
 4.71267322e+00  1.41975852e-09  3.16415511e-08 
 4.82134619e+00  1.41901061e-09  3.16248826e-08 
 4.93252513e+00  1.41827917e-09  3.16085813e-08 
 5.04626783e+00  1.41756385e-09  3.15926393e-08 
 5.16263340e+00  1.41686431e-09  3.15770489e-08 
 5.28168234e+00  1.41618020e-09  3.15618025e-08 
 5.40347650e+00  1.41551119e-09  3.15468926e-08 
 5.52807921e+00  1.41485696e-09  3.15323119e-08 
 5.65555523e+00  1.41421717e-09  3.15180534e-08 
 5.78597080e+00  1.41359153e-09  3.15041100e-08 
 5.91939372e+00  1.41297973e-09  3.14904750e-08 
 6.05589334e+00  1.41238146e-09  3.14771415e-08 
 6.19554061e+00  1.41179642e-09  3.14641032e-08 
 6.33840810e+00  1.41122434e-09  3.14513535e-08 
 6.48457008e+00  1.41066493e-09  3.14388861e-08 
 6.63410251e+00  1.41011792e-09  3.14266950e-08 
 6.78708313e+00  1.40958303e-09  3.14147742e-08 
 6.94359143e+00  1.40906000e-09  3.14031176e-08 
 7.10370877e+00  1.40854857e-09  3.13917196e-08 
 7.26751838e+00  1.40804849e-09  3.13805745e-08 
 7.43510539e+00  1.40755951e-09  3.13696768e-08 
 7.60655691e+00  1.40708139e-09  3.13590211e-08 
 7.78196206e+00  1.40661388e-09  3.13486021e-08 
 7.96141200e+00  1.40615677e-09  3.13384145e-08 
 8.14500001e+00  1.40570981e-09  3.13284534e-08 
 8.33282151e+00  1.40527279e-09  3.13187137e-08 
 8.52497412e+00  1.40484549e-09  3.13091907e-08 
 8.72155772e+00  1.40442769e-09  3.12998794e-08 
 8.92267449e+00  1.40401920e-09  3.12907754e-08 
 9.12842895e+00  1.40361979e-09  3.12818740e-08 
 9.33892805e+00  1.40322928e-09  3.12731709e-08 
 9.55428121e+00  1.40284746e-09  3.12646615e-08 
 9.77460036e+00  1.40247415e-09  3.12563417e-08 
 1.00000000e+01  1.40210916e-09  3.12482073e-08 
 1.02305973e+01  1.40175231e-09  3.12402542e-08 
 1.04665121e+01  1.40140341e-09  3.12324784e-08 
 1.07078670e+01  1.40106229e-09  3.12248760e-08 
 1.09547876e+01  1.40072877e-09  3.12174432e-08 
 1.12074020e+01  1.40040270e-09  3.12101761e-08 
 1.14658417e+01  1.40008391e-09  3.12030713e-08 
 1.17302409e+01  1.39977223e-09  3.11961250e-08 
 1.20007371e+01  1.39946751e-09  3.11893338e-08 
 1.22774708e+01  1.39916959e-09  3.11826943e-08 
 1.25605860e+01  1.39887833e-09  3.11762030e-08 
 1.28502297e+01  1.39859357e-09  3.11698568e-08 
 1.31465525e+01  1.39831517e-09  3.11636523e-08 
 1.34497085e+01  1.39804300e-09  3.11575865e-08 
 1.37598551e+01  1.39777691e-09  3.11516563e-08 
 1.40771537e+01  1.39751677e-09  3.11458586e-08 
 1.44017690e+01  1.39726245e-09  3.11401906e-08 
 1.47338699e+01  1.39701381e-09  3.11346493e-08 
 1.50736290e+01  1.39677073e-09  3.11292320e-08 
 1.54212228e+01  1.39653310e-09  3.11239359e-08 
 1.57768320e+01  1.39630078e-09  3.11187583e-08 
 1.61406415e+01  1.39607366e-09  3.11136966e-08 
 1.65128404e+01  1.39585162e-09  3.11087481e-08 
 1.68936220e+01  1.39563455e-09  3.11039105e-08 
 1.72831844e+01  1.39542235e-09  3.10991811e-08 
 1.76817299e+01  1.39521489e-09  3.10945577e-08 
 1.80894658e+01  1.39501208e-09  3.10900378e-08 
 1.85066040e+01  1.39481382e-09  3.10856191e-08 
 1.89333613e+01  1.39461999e-09  3.10812994e-08 
 1.93699595e+01  1.39443051e-09  3.10770765e-08 
 1.98166255e+01  1.39424528e-09  3.10729483e-08 
 2.02735916e+01  1.39406419e-09  3.10689126e-08 
 2.07410951e+01  1.39388717e-09  3.10649673e-08 
 2.12193792e+01  1.39371411e-09  3.10611104e-08 
 2.17086923e+01  1.39354494e-09  3.10573401e-08 
 2.22092889e+01  1.39337955e-09  3.10536543e-08 
 2.27214291e+01  1.39321788e-09  3.10500511e-08 
 2.32453791e+01  1.39305983e-09  3.10465287e-08 
 2.37814113e+01  1.39290533e-09  3.10430854e-08 
 2.43298042e+01  1.39275429e-09  3.10397193e-08 
 2.48908429e+01  1.39260664e-09  3.10364287e-08 
 2.54648190e+01  1.39246231e-09  3.10332119e-08 
 2.60520309e+01  1.39232121e-09  3.10300674e-08 
 2.66527837e+01  1.39218328e-09  3.10269934e-08 
 2.72673897e+01  1.39204844e-09  3.10239884e-08 
 2.78961683e+01  1.39191664e-09  3.10210508e-08 
 2.85394464e+01  1.39178779e-09  3.10181792e-08 
 2.91975583e+01  1.39166183e-09  3.10153721e-08 
 2.98708461e+01  1.39153870e-09  3.10126279e-08 
 3.05596598e+01  1.39141834e-09  3.10099454e-08 
 3.12643573e+01  1.39130068e-09  3.10073232e-08 
 3.19853049e+01  1.39118566e-09  3.10047598e-08 
 3.27228774e+01  1.39107322e-09  3.10022540e-08 
 3.34774581e+01  1.39096331e-09  3.09998045e-08 
 3.42494392e+01  1.39085587e-09  3.09974100e-08 
 3.50392221e+01  1.39075085e-09  3.09950693e-08 
 3.58472171e+01  1.39064818e-09  3.09927812e-08 
 3.66738442e+01  1.39054782e-09  3.09905445e-08 
 3.75195331e+01  1.39044971e-09  3.09883581e-08 
 3.83847234e+01  1.39035381e-09  3.09862208e-08 
 3.92698648e+01  1.39026007e-09  3.09841315e-08 
 4.01754173e+01  1.39016843e-09  3.09820892e-08 
 4.11018515e+01  1.39007885e-09  3.09800928e-08 
 4.20496491e+01  1.38999128e-09  3.09781413e-08 
 4.30193027e+01  1.38990569e-09  3.09762336e-08 
 4.40113162e+01  1.38982201e-09  3.09743688e-08 
 4.50262052e+01  1.38974022e-09  3.09725460e-08 
 4.60644974e+01  1.38966027e-09  3.09707641e-08 
 4.71267322e+01  1.38958211e-09  3.09690223e-08 
 4.82134619e+01  1.38950572e-09  3.09673197e-08 
 4.93252513e+01  1.38943104e-09  3.09656553e-08 
 5.04626783e+01  1.38935804e-09  3.09640284e-08 
 5.16263340e+01  1.38928668e-09  3.09624380e-08 
 5.28168234e+01  1.38921692e-09  3.09608835e-08 
 5.40347650e+01  1.38914874e-09  3.09593638e-08 
 5.52807921e+01  1.38908209e-09  3.09578784e-08 
 5.65555523e+01  1.38901693e-09  3.09564264e-08 
 5.78597080e+01  1.38895325e-09  3.09550070e-08 
 5.91939372e+01  1.38889099e-09  3.09536196e-08 
 6.05589334e+01  1.38883014e-09  3.09522634e-08 
 6.19554061e+01  1.38877066e-09  3.09509377e-08 
 6.33840810e+01  1.38871251e-09  3.09496418e-08 
 6.48457008e+01  1.38865567e-09  3.09483751e-08 
 6.63410251e+01  1.38860011e-09  3.09471369e-08 
 6.78708313e+01  1.38854581e-09  3.09459265e-08 
 6.94359143e+01  1.38849272e-09  3.09447434e-08 
 7.10370877e+01  1.38844083e-09  3.09435869e-08 
 7.26751838e+01  1.38839010e-09  3.09424565e-08 
