 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  5.22858949e-10  1.17852786e-08 
 1.02305973e+00  5.22228943e-10  1.17710782e-08 
 1.04665121e+00  5.21612401e-10  1.17571813e-08 
 1.07078670e+00  5.21009052e-10  1.17435818e-08 
 1.09547876e+00  5.20418626e-10  1.17302735e-08 
 1.12074020e+00  5.19840860e-10  1.17172507e-08 
 1.14658417e+00  5.19275496e-10  1.17045073e-08 
 1.17302409e+00  5.18722279e-10  1.16920378e-08 
 1.20007371e+00  5.18180961e-10  1.16798364e-08 
 1.22774708e+00  5.17651297e-10  1.16678978e-08 
 1.25605860e+00  5.17133048e-10  1.16562164e-08 
 1.28502297e+00  5.16625977e-10  1.16447870e-08 
 1.31465525e+00  5.16129855e-10  1.16336043e-08 
 1.34497085e+00  5.15644453e-10  1.16226633e-08 
 1.37598551e+00  5.15169551e-10  1.16119590e-08 
 1.40771537e+00  5.14704929e-10  1.16014864e-08 
 1.44017690e+00  5.14250374e-10  1.15912407e-08 
 1.47338699e+00  5.13805677e-10  1.15812172e-08 
 1.50736290e+00  5.13370630e-10  1.15714112e-08 
 1.54212228e+00  5.12945033e-10  1.15618182e-08 
 1.57768320e+00  5.12528687e-10  1.15524337e-08 
 1.61406415e+00  5.12121398e-10  1.15432534e-08 
 1.65128404e+00  5.11722977e-10  1.15342730e-08 
 1.68936220e+00  5.11333235e-10  1.15254882e-08 
 1.72831844e+00  5.10951992e-10  1.15168949e-08 
 1.76817299e+00  5.10579066e-10  1.15084892e-08 
 1.80894658e+00  5.10214283e-10  1.15002669e-08 
 1.85066040e+00  5.09857469e-10  1.14922243e-08 
 1.89333613e+00  5.09508457e-10  1.14843575e-08 
 1.93699595e+00  5.09167080e-10  1.14766629e-08 
 1.98166255e+00  5.08833177e-10  1.14691367e-08 
 2.02735916e+00  5.08506587e-10  1.14617753e-08 
 2.07410951e+00  5.08187157e-10  1.14545753e-08 
 2.12193792e+00  5.07874732e-10  1.14475333e-08 
 2.17086923e+00  5.07569163e-10  1.14406457e-08 
 2.22092889e+00  5.07270304e-10  1.14339094e-08 
 2.27214291e+00  5.06978011e-10  1.14273211e-08 
 2.32453791e+00  5.06692143e-10  1.14208776e-08 
 2.37814113e+00  5.06412562e-10  1.14145759e-08 
 2.43298042e+00  5.06139135e-10  1.14084128e-08 
 2.48908429e+00  5.05871727e-10  1.14023854e-08 
 2.54648190e+00  5.05610210e-10  1.13964908e-08 
 2.60520309e+00  5.05354457e-10  1.13907261e-08 
 2.66527837e+00  5.05104343e-10  1.13850885e-08 
 2.72673897e+00  5.04859747e-10  1.13795753e-08 
 2.78961683e+00  5.04620550e-10  1.13741838e-08 
 2.85394464e+00  5.04386635e-10  1.13689113e-08 
 2.91975583e+00  5.04157887e-10  1.13637553e-08 
 2.98708461e+00  5.03934195e-10  1.13587133e-08 
 3.05596598e+00  5.03715448e-10  1.13537827e-08 
 3.12643573e+00  5.03501541e-10  1.13489612e-08 
 3.19853049e+00  5.03292367e-10  1.13442464e-08 
 3.27228774e+00  5.03087824e-10  1.13396360e-08 
 3.34774581e+00  5.02887811e-10  1.13351277e-08 
 3.42494392e+00  5.02692229e-10  1.13307193e-08 
 3.50392221e+00  5.02500982e-10  1.13264085e-08 
 3.58472171e+00  5.02313975e-10  1.13221934e-08 
 3.66738442e+00  5.02131116e-10  1.13180718e-08 
 3.75195331e+00  5.01952315e-10  1.13140416e-08 
 3.83847234e+00  5.01777482e-10  1.13101008e-08 
 3.92698648e+00  5.01606531e-10  1.13062476e-08 
 4.01754173e+00  5.01439376e-10  1.13024799e-08 
 4.11018515e+00  5.01275936e-10  1.12987959e-08 
 4.20496491e+00  5.01116128e-10  1.12951938e-08 
 4.30193027e+00  5.00959873e-10  1.12916718e-08 
 4.40113162e+00  5.00807092e-10  1.12882282e-08 
 4.50262052e+00  5.00657710e-10  1.12848611e-08 
 4.60644974e+00  5.00511653e-10  1.12815689e-08 
 4.71267322e+00  5.00368846e-10  1.12783501e-08 
 4.82134619e+00  5.00229218e-10  1.12752028e-08 
 4.93252513e+00  5.00092701e-10  1.12721257e-08 
 5.04626783e+00  4.99959224e-10  1.12691171e-08 
