 v-sweep         i(vib3)         i(vib2)         i(vib1)         i(vib)         
 1.00000000e-01  5.38897342e-11  1.07535837e-10  1.62346868e-10  2.18479869e-10 
 1.50000000e-01  8.67325535e-11  1.73418853e-10  2.60119222e-10  3.47871275e-10 
 2.00000000e-01  1.32201238e-10  2.64362187e-10  3.96537235e-10  5.30119270e-10 
 2.50000000e-01  2.11365086e-10  4.21415730e-10  6.34578551e-10  8.47769763e-10 
 3.00000000e-01  3.84213386e-10  7.68730754e-10  1.15526572e-09  1.54393282e-09 
 3.50000000e-01  8.29116366e-10  1.65903028e-09  2.48666952e-09  3.31198000e-09 
 4.00000000e-01  2.15197229e-09  4.30569861e-09  6.46006374e-09  8.61727176e-09 
 4.50000000e-01  6.83976891e-09  1.36794533e-08  2.05191093e-08  2.73620336e-08 
 5.00000000e-01  2.70828986e-08  5.41687596e-08  8.12546487e-08  1.08340538e-07 
 5.50000000e-01  1.31079148e-07  2.62155809e-07  3.93232413e-07  5.24321408e-07 
 6.00000000e-01  7.28676692e-07  1.45735413e-06  2.18603559e-06  2.91472133e-06 
 6.50000000e-01  4.36676218e-06  8.73352082e-06  1.31002780e-05  1.74670522e-05 
 7.00000000e-01  2.70347772e-05  5.40695494e-05  8.11043238e-05  1.08139113e-04 
 7.50000000e-01  1.66724602e-04  3.33449201e-04  5.00173805e-04  6.66898421e-04 
 8.00000000e-01  9.34972364e-04  1.86994473e-03  2.80491709e-03  3.73988947e-03 
 8.50000000e-01  4.54181065e-03  9.08362128e-03  1.36254319e-02  1.81672426e-02 
 9.00000000e-01  3.35836033e-02  6.71672065e-02  1.00750810e-01  1.34334413e-01 
 9.50000000e-01  1.62396020e-01  3.24792040e-01  4.87188059e-01  6.49584079e-01 
 1.00000000e+00  6.60576999e-01  1.32115400e+00  1.98173100e+00  2.64230800e+00 
 1.05000000e+00  2.10631098e+00  4.21262196e+00  6.31893294e+00  8.42524392e+00 
 1.10000000e+00  4.68248265e+00  9.36496530e+00  1.40474479e+01  1.87299306e+01 
 1.15000000e+00  8.01064431e+00  1.60212886e+01  2.40319329e+01  3.20425773e+01 
 1.20000000e+00  1.17648928e+01  2.35297856e+01  3.52946784e+01  4.70595712e+01 
 1.25000000e+00  1.57642332e+01  3.15284664e+01  4.72926996e+01  6.30569329e+01 
 1.30000000e+00  1.99402595e+01  3.98805190e+01  5.98207785e+01  7.97610380e+01 
 1.35000000e+00  2.42278127e+01  4.84556254e+01  7.26834381e+01  9.69112508e+01 
 1.40000000e+00  2.85952579e+01  5.71905158e+01  8.57857737e+01  1.14381032e+02 
 1.45000000e+00  3.30240061e+01  6.60480121e+01  9.90720182e+01  1.32096024e+02 
 1.50000000e+00  3.75008205e+01  7.50016410e+01  1.12502461e+02  1.50003282e+02 
 1.55000000e+00  4.20161792e+01  8.40323584e+01  1.26048538e+02  1.68064717e+02 
 1.60000000e+00  4.65631018e+01  9.31262035e+01  1.39689305e+02  1.86252407e+02 
