 v-sweep         i(vic3)         i(vic2)         i(vic1)         i(vic)         
 1.00000000e-01  2.77279513e-11  5.55968855e-11  8.35881502e-11  1.11576875e-10 
 1.50000000e-01  5.23162749e-11  1.04712043e-10  1.57286628e-10  2.09858379e-10 
 2.00000000e-01  1.51376604e-10  3.02907725e-10  4.54272816e-10  6.05607313e-10 
 2.50000000e-01  7.45260985e-10  1.49065119e-09  2.23634316e-09  2.98263239e-09 
 3.00000000e-01  4.62611396e-09  9.25224145e-09  1.38785483e-08  1.85048646e-08 
 3.50000000e-01  3.03347404e-08  6.06699301e-08  9.10056161e-08  1.21341306e-07 
 4.00000000e-01  2.00995091e-07  4.01990407e-07  6.02986198e-07  8.03981988e-07 
 4.50000000e-01  1.33419084e-06  2.66838191e-06  4.00257275e-06  5.33676413e-06 
 5.00000000e-01  8.85860047e-06  1.77172010e-05  2.65758016e-05  3.54344021e-05 
 5.50000000e-01  5.88163615e-05  1.17632723e-04  1.76449087e-04  2.35265448e-04 
 6.00000000e-01  3.90437785e-04  7.80875571e-04  1.17131336e-03  1.56175114e-03 
 6.50000000e-01  2.58987242e-03  5.17974484e-03  7.76961726e-03  1.03594897e-02 
 7.00000000e-01  1.71059375e-02  3.42118750e-02  5.13178125e-02  6.84237500e-02 
 7.50000000e-01  1.10043127e-01  2.20086253e-01  3.30129380e-01  4.40172507e-01 
 8.00000000e-01  6.17973059e-01  1.23594612e+00  1.85391918e+00  2.47189223e+00 
 8.50000000e-01  2.21674644e+00  4.43349288e+00  6.65023931e+00  8.86698575e+00 
 9.00000000e-01  3.53174096e+00  7.06348192e+00  1.05952229e+01  1.41269638e+01 
 9.50000000e-01  5.04678365e+00  1.00935673e+01  1.51403509e+01  2.01871346e+01 
 1.00000000e+00  6.34314458e+00  1.26862892e+01  1.90294337e+01  2.53725783e+01 
 1.05000000e+00  6.94684280e+00  1.38936856e+01  2.08405284e+01  2.77873712e+01 
 1.10000000e+00  7.14302974e+00  1.42860595e+01  2.14290892e+01  2.85721189e+01 
 1.15000000e+00  7.21464631e+00  1.44292926e+01  2.16439389e+01  2.88585852e+01 
 1.20000000e+00  7.24773288e+00  1.44954658e+01  2.17431987e+01  2.89909315e+01 
 1.25000000e+00  7.26629264e+00  1.45325853e+01  2.17988779e+01  2.90651706e+01 
 1.30000000e+00  7.27730372e+00  1.45546074e+01  2.18319112e+01  2.91092149e+01 
 1.35000000e+00  7.28472644e+00  1.45694529e+01  2.18541793e+01  2.91389058e+01 
 1.40000000e+00  7.29006378e+00  1.45801276e+01  2.18701913e+01  2.91602551e+01 
 1.45000000e+00  7.29405390e+00  1.45881078e+01  2.18821617e+01  2.91762156e+01 
 1.50000000e+00  7.29713834e+00  1.45942767e+01  2.18914150e+01  2.91885534e+01 
 1.55000000e+00  7.29958961e+00  1.45991792e+01  2.18987688e+01  2.91983584e+01 
 1.60000000e+00  7.30158232e+00  1.46031646e+01  2.19047470e+01  2.92063293e+01 
