 v-sweep         (dc1.i(vib))    (dc2.i(vib))    (dc3.i(vib))    (dc4.i(vib))    (dc5.i(vib))    (dc6.i(vib))    (dc7.i(vib))    (dc8.i(vib))    (dc9.i(vib))    (dc10.i(vib))   (dc1.i(vib_l))  (dc2.i(vib_l))  (dc3.i(vib_l))  (dc4.i(vib_l))  (dc5.i(vib_l))  (dc6.i(vib_l))  (dc7.i(vib_l))  (dc8.i(vib_l))  (dc9.i(vib_l))  (dc10.i(vib_l)) (dc1.i(vib_v))  (dc2.i(vib_v))  (dc3.i(vib_v))  (dc4.i(vib_v))  (dc5.i(vib_v))  (dc6.i(vib_v))  (dc7.i(vib_v))  (dc8.i(vib_v))  (dc9.i(vib_v))  (dc10.i(vib_v))
 1.00000000e-01  2.00592341e-13  2.01186160e-13  2.01782390e-13  2.02371629e-13  2.02959229e-13  2.03555208e-13  2.04152043e-13  2.04743957e-13  2.05341529e-13  2.05930265e-13  2.01774440e-13  2.03550289e-13  2.05323406e-13  2.07096523e-13  2.08875754e-13  2.10638593e-13  2.12441198e-13  2.14199918e-13  2.15984678e-13  2.17766575e-13  2.02134765e-13  2.04262671e-13  2.06390749e-13  2.08541013e-13  2.10662854e-13  2.12781921e-13  2.14910160e-13  2.17025604e-13  2.19186429e-13  2.21359403e-13 
 1.50000000e-01  3.01263319e-13  3.02525417e-13  3.03788923e-13  3.05051957e-13  3.06325378e-13  3.07575388e-13  3.08846953e-13  3.10109713e-13  3.11372024e-13  3.12642037e-13  3.03784819e-13  3.07574482e-13  3.11350486e-13  3.15137417e-13  3.18896899e-13  3.22675723e-13  3.26490016e-13  3.30274216e-13  3.34072206e-13  3.37836889e-13  3.04542097e-13  3.09080665e-13  3.13621315e-13  3.18148790e-13  3.22679726e-13  3.27222448e-13  3.31807814e-13  3.36321086e-13  3.40891889e-13  3.45500108e-13 
 2.00000000e-01  4.04744316e-13  4.09487497e-13  4.14227529e-13  4.18973497e-13  4.23711884e-13  4.28445378e-13  4.33201419e-13  4.37953838e-13  4.42700904e-13  4.47421157e-13  4.14115669e-13  4.28239618e-13  4.42355371e-13  4.56471125e-13  4.70558129e-13  4.84677915e-13  4.98869034e-13  5.12977849e-13  5.27070448e-13  5.41091756e-13  4.16962298e-13  4.33937914e-13  4.50873321e-13  4.67853101e-13  4.84789553e-13  5.01747489e-13  5.18669703e-13  5.35737544e-13  5.52648331e-13  5.69646494e-13 
 2.50000000e-01  5.12869696e-13  5.25739529e-13  5.38604383e-13  5.51466841e-13  5.64339761e-13  5.77215533e-13  5.90072918e-13  6.02952995e-13  6.15815686e-13  6.28680879e-13  5.37936384e-13  5.75879021e-13  6.13813462e-13  6.51764294e-13  6.89668685e-13  7.27633177e-13  7.65605864e-13  8.03534841e-13  8.41452892e-13  8.79409188e-13  5.45640373e-13  5.91283876e-13  6.36936391e-13  6.82534837e-13  7.28200869e-13  7.73839867e-13  8.19451830e-13  8.65108850e-13  9.10675756e-13  9.56440915e-13 
 3.00000000e-01  6.35432355e-13  6.70866911e-13  7.06293510e-13  7.41729696e-13  7.77171126e-13  8.12591273e-13  8.48005915e-13  8.83447644e-13  9.18855413e-13  9.54325542e-13  7.02428852e-13  8.04867393e-13  9.07269164e-13  1.00971169e-12  1.11212413e-12  1.21452061e-12  1.31691110e-12  1.41937844e-12  1.52188428e-12  1.62417053e-12  7.23562065e-13  8.47135097e-13  9.70663088e-13  1.09424511e-12  1.21780774e-12  1.34144802e-12  1.46500236e-12  1.58853724e-12  1.71209850e-12  1.83562646e-12 
 3.50000000e-01  8.02149317e-13  9.04299627e-13  1.00644919e-12  1.10859598e-12  1.21075484e-12  1.31290557e-12  1.41506672e-12  1.51721073e-12  1.61936299e-12  1.72149917e-12  9.83972811e-13  1.26795875e-12  1.55189005e-12  1.83584320e-12  2.11986478e-12  2.40383173e-12  2.68777664e-12  2.97180880e-12  3.25567757e-12  3.53966620e-12  1.04457610e-12  1.38915297e-12  1.73374024e-12  2.07825265e-12  2.42281909e-12  2.76743412e-12  3.11205607e-12  3.45656015e-12  3.80116818e-12  4.14562093e-12 
 4.00000000e-01  1.12290649e-12  1.44580795e-12  1.76871417e-12  2.09163497e-12  2.41453253e-12  2.73742668e-12  3.06032583e-12  3.38326277e-12  3.70614291e-12  4.02903614e-12  1.63906420e-12  2.47811218e-12  3.31718349e-12  4.15623000e-12  4.99534215e-12  5.83439967e-12  6.67344644e-12  7.51257490e-12  8.35169278e-12  9.19074458e-12  1.82856061e-12  2.85714785e-12  3.88566855e-12  4.91425025e-12  5.94286316e-12  6.97133880e-12  7.99989620e-12  9.02834690e-12  1.00567913e-11  1.10855907e-11 
 4.50000000e-01  2.08138030e-12  3.26274998e-12  4.44412945e-12  5.62552751e-12  6.80689124e-12  7.98825537e-12  9.16965668e-12  1.03510212e-11  1.15324247e-11  1.27137382e-11  3.70225932e-12  6.50453864e-12  9.30678813e-12  1.21090536e-11  1.49113113e-11  1.77135799e-11  2.05157659e-11  2.33180834e-11  2.61204449e-11  2.89226972e-11  4.38389848e-12  7.86775933e-12  1.13516361e-11  1.48355171e-11  1.83194937e-11  2.18032124e-11  2.52871537e-11  2.87710326e-11  3.22549378e-11  3.57388236e-11 
 5.00000000e-01  6.14355116e-12  1.12870998e-11  1.64306387e-11  2.15741828e-11  2.67177220e-11  3.18613039e-11  3.70048515e-11  4.21483573e-11  4.72919067e-11  5.24354830e-11  1.22253461e-11  2.34506720e-11  3.46760073e-11  4.59014220e-11  5.71267384e-11  6.83519942e-11  7.95772888e-11  9.08027254e-11  1.02027976e-10  1.13253456e-10  1.51327855e-11  2.92655593e-11  4.33982929e-11  5.75311249e-11  7.16638495e-11  8.57966822e-11  9.99293602e-11  1.14062184e-10  1.28194909e-10  1.42327777e-10 
 5.50000000e-01  2.71156128e-11  5.31312147e-11  7.91468340e-11  1.05162437e-10  1.31178078e-10  1.57193651e-10  1.83209258e-10  2.09224923e-10  2.35240497e-10  2.61256105e-10  5.55858928e-11  1.10071681e-10  1.64557437e-10  2.19043149e-10  2.73528946e-10  3.28014568e-10  3.82500151e-10  4.36985866e-10  4.91471712e-10  5.45957176e-10  6.99921179e-11  1.38884070e-10  2.07775892e-10  2.76667721e-10  3.45559506e-10  4.14451280e-10  4.83343057e-10  5.52234879e-10  6.21126329e-10  6.90018161e-10 
