 v-sweep         (dc1.i(vic))    (dc2.i(vic))    (dc3.i(vic))    (dc4.i(vic))    (dc5.i(vic))    (dc6.i(vic))    (dc7.i(vic))    (dc8.i(vic))    (dc9.i(vic))    (dc10.i(vic))   (dc1.i(vic_l))  (dc2.i(vic_l))  (dc3.i(vic_l))  (dc4.i(vic_l))  (dc5.i(vic_l))  (dc6.i(vic_l))  (dc7.i(vic_l))  (dc8.i(vic_l))  (dc9.i(vic_l))  (dc10.i(vic_l)) (dc1.i(vic_v))  (dc2.i(vic_v))  (dc3.i(vic_v))  (dc4.i(vic_v))  (dc5.i(vic_v))  (dc6.i(vic_v))  (dc7.i(vic_v))  (dc8.i(vic_v))  (dc9.i(vic_v))  (dc10.i(vic_v))
 1.00000000e-01  1.02412897e-13  1.04542763e-13  1.06611861e-13  1.08640234e-13  1.10638849e-13  1.12616006e-13  1.14571387e-13  1.16539444e-13  1.18486684e-13  1.20407530e-13  1.02742557e-13  1.05210193e-13  1.07605590e-13  1.09958303e-13  1.12308520e-13  1.14598021e-13  1.16918492e-13  1.19208169e-13  1.21474690e-13  1.23727309e-13  1.03211720e-13  1.06145820e-13  1.09011959e-13  1.11840665e-13  1.14641870e-13  1.17416637e-13  1.20186654e-13  1.22943587e-13  1.25688722e-13  1.28425215e-13 
 1.50000000e-01  1.53561465e-13  1.56826488e-13  1.60030749e-13  1.63192136e-13  1.66319896e-13  1.69423076e-13  1.72509069e-13  1.75608139e-13  1.78682923e-13  1.81734862e-13  1.54551202e-13  1.58817368e-13  1.63011443e-13  1.67166708e-13  1.71304529e-13  1.75385103e-13  1.79500598e-13  1.83586574e-13  1.87649230e-13  1.91683971e-13  1.55911136e-13  1.61534482e-13  1.67084749e-13  1.72597006e-13  1.78085437e-13  1.83533479e-13  1.88993160e-13  1.94429981e-13  1.99853245e-13  2.05277903e-13 
 2.00000000e-01  2.25036656e-13  2.49780538e-13  2.74461597e-13  2.99103904e-13  3.23714453e-13  3.48300235e-13  3.72860610e-13  3.97447406e-13  4.22017656e-13  4.46547927e-13  2.41925501e-13  2.83569192e-13  3.25144985e-13  3.66679550e-13  4.08198264e-13  4.49644573e-13  4.91190995e-13  5.32604756e-13  5.74067044e-13  6.15484565e-13  2.61296777e-13  3.22311180e-13  3.83252583e-13  4.44156677e-13  5.05034014e-13  5.65878186e-13  6.26729358e-13  6.87564229e-13  7.48368445e-13  8.09192436e-13 
 2.50000000e-01  4.04471328e-13  5.58651416e-13  7.12763182e-13  8.66845057e-13  1.02089544e-12  1.17491593e-12  1.32891081e-12  1.48294197e-12  1.63692617e-12  1.79091250e-12  5.23386557e-13  7.96490569e-13  1.06951442e-12  1.34250873e-12  1.61550085e-12  1.88840487e-12  2.16140626e-12  2.43427901e-12  2.70720621e-12  2.98013346e-12  6.45961146e-13  1.04163823e-12  1.43724663e-12  1.83281595e-12  2.22835609e-12  2.62387366e-12  3.01937976e-12  3.41488051e-12  3.81034704e-12  4.20583228e-12 
 3.00000000e-01  1.31086616e-12  2.32144475e-12  3.33195965e-12  4.34242898e-12  5.35285320e-12  6.36328298e-12  7.37366343e-12  8.38406577e-12  9.39447612e-12  1.04048680e-11  2.14593152e-12  3.99158948e-12  5.83716890e-12  7.68274340e-12  9.52823337e-12  1.13737570e-11  1.32192312e-11  1.50647467e-11  1.69101868e-11  1.87555232e-11  2.91844501e-12  5.53660608e-12  8.15469832e-12  1.07727425e-11  1.33907754e-11  1.60087737e-11  1.86267588e-11  2.12447481e-11  2.38627105e-11  2.64806892e-11 
 3.50000000e-01  7.02728089e-12  1.37042608e-11  2.03811902e-11  2.70580840e-11  3.37349345e-11  4.04117726e-11  4.70885516e-11  5.37653931e-11  6.04421908e-11  6.71189531e-11  1.28800550e-11  2.54098254e-11  3.79395151e-11  5.04692016e-11  6.29988451e-11  7.55284450e-11  8.80580685e-11  1.00587646e-10  1.13117183e-10  1.25646730e-10  1.77277292e-11  3.51051742e-11  5.24825489e-11  6.98598760e-11  8.72372055e-11  1.04614474e-10  1.21991772e-10  1.39369033e-10  1.56746253e-10  1.74123532e-10 
 4.00000000e-01  4.45692092e-11  8.87381168e-11  1.32906983e-10  1.77075802e-10  2.21244574e-10  2.65413336e-10  3.09582048e-10  3.53750826e-10  3.97919567e-10  4.42088229e-10  8.55185850e-11  1.70636876e-10  2.55755100e-10  3.40873313e-10  4.25991476e-10  5.11109616e-10  5.96227802e-10  6.81345884e-10  7.66463958e-10  8.51582073e-10  1.15789877e-10  2.31179472e-10  3.46568993e-10  4.61958475e-10  5.77347953e-10  6.92737365e-10  8.08126815e-10  9.23516239e-10  1.03890560e-09  1.15429501e-09 
 4.50000000e-01  2.92679690e-10  5.84909078e-10  8.77138426e-10  1.16936773e-09  1.46159699e-09  1.75382622e-09  2.04605539e-09  2.33828467e-09  2.63051388e-09  2.92274304e-09  5.78728393e-10  1.15700646e-09  1.73528447e-09  2.31356243e-09  2.89184038e-09  3.47011824e-09  4.04839628e-09  4.62667408e-09  5.20495187e-09  5.78322972e-09  7.66683417e-10  1.53291652e-09  2.29914952e-09  3.06538247e-09  3.83161542e-09  4.59784831e-09  5.36408111e-09  6.13031402e-09  6.89654684e-09  7.66277962e-09 
 5.00000000e-01  1.93393014e-09  3.86735998e-09  5.80078978e-09  7.73421952e-09  9.66764925e-09  1.16010789e-08  1.35345085e-08  1.54679382e-08  1.74013679e-08  1.93347975e-08  3.92914164e-09  7.85778192e-09  1.17864216e-08  1.57150610e-08  1.96437001e-08  2.35723389e-08  2.75009776e-08  3.14296160e-08  3.53582543e-08  3.92868925e-08  5.08836521e-09  1.01762283e-08  1.52640904e-08  2.03519519e-08  2.54398130e-08  3.05276736e-08  3.56155340e-08  4.07033941e-08  4.57912538e-08  5.08791135e-08 
 5.50000000e-01  1.27916770e-08  2.55828036e-08  3.83739301e-08  5.11650566e-08  6.39561830e-08  7.67473094e-08  8.95384358e-08  1.02329562e-07  1.15120688e-07  1.27911815e-07  2.66890690e-08  5.33775365e-08  8.00659816e-08  1.06754411e-07  1.33442829e-07  1.60131237e-07  1.86819637e-07  2.13508030e-07  2.40196416e-07  2.66884796e-07  3.37815976e-08  6.75625610e-08  1.01343488e-07  1.35124389e-07  1.68905271e-07  2.02686137e-07  2.36466990e-07  2.70247831e-07  3.04028661e-07  3.37809482e-07 
