 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -4.07563663e+01  3.17786005e-07 
 1.00230524e+01 -4.07563663e+01  3.18518578e-07 
 1.00461579e+01 -4.07563663e+01  3.19252839e-07 
 1.00693167e+01 -4.07563663e+01  3.19988792e-07 
 1.00925289e+01 -4.07563663e+01  3.20726443e-07 
 1.01157945e+01 -4.07563663e+01  3.21465794e-07 
 1.01391139e+01 -4.07563663e+01  3.22206849e-07 
 1.01624869e+01 -4.07563663e+01  3.22949612e-07 
 1.01859139e+01 -4.07563663e+01  3.23694088e-07 
 1.02093948e+01 -4.07563663e+01  3.24440280e-07 
 1.02329299e+01 -4.07563663e+01  3.25188192e-07 
 1.02565193e+01 -4.07563663e+01  3.25937828e-07 
 1.02801630e+01 -4.07563663e+01  3.26689193e-07 
 1.03038612e+01 -4.07563663e+01  3.27442289e-07 
 1.03276141e+01 -4.07563663e+01  3.28197121e-07 
 1.03514217e+01 -4.07563663e+01  3.28953694e-07 
 1.03752842e+01 -4.07563663e+01  3.29712010e-07 
 1.03992017e+01 -4.07563663e+01  3.30472075e-07 
 1.04231743e+01 -4.07563663e+01  3.31233892e-07 
 1.04472022e+01 -4.07563663e+01  3.31997465e-07 
 1.04712855e+01 -4.07563663e+01  3.32762798e-07 
 1.04954243e+01 -4.07563663e+01  3.33529896e-07 
 1.05196187e+01 -4.07563663e+01  3.34298761e-07 
 1.05438690e+01 -4.07563663e+01  3.35069400e-07 
 1.05681751e+01 -4.07563663e+01  3.35841814e-07 
 1.05925373e+01 -4.07563663e+01  3.36616010e-07 
 1.06169556e+01 -4.07563663e+01  3.37391990e-07 
 1.06414302e+01 -4.07563663e+01  3.38169759e-07 
 1.06659612e+01 -4.07563663e+01  3.38949320e-07 
 1.06905488e+01 -4.07563663e+01  3.39730679e-07 
 1.07151931e+01 -4.07563663e+01  3.40513839e-07 
 1.07398941e+01 -4.07563663e+01  3.41298805e-07 
 1.07646521e+01 -4.07563663e+01  3.42085580e-07 
 1.07894672e+01 -4.07563663e+01  3.42874169e-07 
 1.08143395e+01 -4.07563663e+01  3.43664575e-07 
 1.08392691e+01 -4.07563663e+01  3.44456804e-07 
 1.08642562e+01 -4.07563663e+01  3.45250859e-07 
 1.08893009e+01 -4.07563663e+01  3.46046744e-07 
 1.09144034e+01 -4.07563663e+01  3.46844464e-07 
 1.09395637e+01 -4.07563663e+01  3.47644023e-07 
 1.09647820e+01 -4.07563663e+01  3.48445426e-07 
 1.09900584e+01 -4.07563663e+01  3.49248675e-07 
 1.10153931e+01 -4.07563663e+01  3.50053777e-07 
 1.10407862e+01 -4.07563663e+01  3.50860734e-07 
 1.10662378e+01 -4.07563663e+01  3.51669551e-07 
 1.10917482e+01 -4.07563663e+01  3.52480234e-07 
 1.11173173e+01 -4.07563663e+01  3.53292784e-07 
 1.11429453e+01 -4.07563663e+01  3.54107208e-07 
 1.11686325e+01 -4.07563663e+01  3.54923510e-07 
 1.11943788e+01 -4.07563663e+01  3.55741693e-07 
 1.12201845e+01 -4.07563663e+01  3.56561762e-07 
 1.12460497e+01 -4.07563663e+01  3.57383722e-07 
 1.12719746e+01 -4.07563663e+01  3.58207577e-07 
 1.12979591e+01 -4.07563663e+01  3.59033330e-07 
 1.13240036e+01 -4.07563663e+01  3.59860988e-07 
 1.13501082e+01 -4.07563663e+01  3.60690553e-07 
 1.13762729e+01 -4.07563663e+01  3.61522030e-07 
 1.14024979e+01 -4.07563663e+01  3.62355425e-07 
 1.14287833e+01 -4.07563663e+01  3.63190740e-07 
 1.14551294e+01 -4.07563663e+01  3.64027981e-07 
 1.14815362e+01 -4.07563663e+01  3.64867153e-07 
 1.15080039e+01 -4.07563663e+01  3.65708258e-07 
 1.15345326e+01 -4.07563663e+01  3.66551303e-07 
 1.15611224e+01 -4.07563663e+01  3.67396291e-07 
 1.15877736e+01 -4.07563663e+01  3.68243227e-07 
 1.16144861e+01 -4.07563663e+01  3.69092115e-07 
 1.16412603e+01 -4.07563663e+01  3.69942960e-07 
 1.16680962e+01 -4.07563663e+01  3.70795767e-07 
 1.16949939e+01 -4.07563663e+01  3.71650539e-07 
 1.17219537e+01 -4.07563663e+01  3.72507282e-07 
