 frequency       ac1.vout1-ac1.vout2 ac1.vout1-ac1.vout2
 1.00000000e+01 -4.05051501e+01  3.10818759e-07 
 1.02329299e+01 -4.05051501e+01  3.18058658e-07 
 1.04712855e+01 -4.05051501e+01  3.25467196e-07 
 1.07151931e+01 -4.05051501e+01  3.33048301e-07 
 1.09647820e+01 -4.05051501e+01  3.40805992e-07 
 1.12201845e+01 -4.05051501e+01  3.48744384e-07 
 1.14815362e+01 -4.05051501e+01  3.56867684e-07 
 1.17489755e+01 -4.05051501e+01  3.65180200e-07 
 1.20226443e+01 -4.05051501e+01  3.73686340e-07 
 1.23026877e+01 -4.05051501e+01  3.82390613e-07 
 1.25892541e+01 -4.05051501e+01  3.91297634e-07 
 1.28824955e+01 -4.05051501e+01  4.00412127e-07 
 1.31825674e+01 -4.05051501e+01  4.09738924e-07 
 1.34896288e+01 -4.05051501e+01  4.19282969e-07 
 1.38038426e+01 -4.05051501e+01  4.29049324e-07 
 1.41253754e+01 -4.05051501e+01  4.39043167e-07 
 1.44543977e+01 -4.05051501e+01  4.49269796e-07 
 1.47910839e+01 -4.05051501e+01  4.59734634e-07 
 1.51356125e+01 -4.05051501e+01  4.70443229e-07 
 1.54881662e+01 -4.05051501e+01  4.81401260e-07 
 1.58489319e+01 -4.05051501e+01  4.92614536e-07 
 1.62181010e+01 -4.05051501e+01  5.04089002e-07 
 1.65958691e+01 -4.05051501e+01  5.15830743e-07 
 1.69824365e+01 -4.05051501e+01  5.27845985e-07 
 1.73780083e+01 -4.05051501e+01  5.40141097e-07 
 1.77827941e+01 -4.05051501e+01  5.52722600e-07 
 1.81970086e+01 -4.05051501e+01  5.65597163e-07 
 1.86208714e+01 -4.05051501e+01  5.78771613e-07 
 1.90546072e+01 -4.05051501e+01  5.92252936e-07 
 1.94984460e+01 -4.05051501e+01  6.06048279e-07 
 1.99526231e+01 -4.05051501e+01  6.20164957e-07 
 2.04173794e+01 -4.05051501e+01  6.34610455e-07 
 2.08929613e+01 -4.05051501e+01  6.49392431e-07 
 2.13796209e+01 -4.05051501e+01  6.64518724e-07 
 2.18776162e+01 -4.05051501e+01  6.79997353e-07 
 2.23872114e+01 -4.05051501e+01  6.95836527e-07 
 2.29086765e+01 -4.05051501e+01  7.12044641e-07 
 2.34422882e+01 -4.05051501e+01  7.28630292e-07 
 2.39883292e+01 -4.05051501e+01  7.45602271e-07 
 2.45470892e+01 -4.05051501e+01  7.62969579e-07 
 2.51188643e+01 -4.05051501e+01  7.80741424e-07 
 2.57039578e+01 -4.05051501e+01  7.98927228e-07 
 2.63026799e+01 -4.05051501e+01  8.17536634e-07 
 2.69153480e+01 -4.05051501e+01  8.36579508e-07 
 2.75422870e+01 -4.05051501e+01  8.56065948e-07 
 2.81838293e+01 -4.05051501e+01  8.76006286e-07 
 2.88403150e+01 -4.05051501e+01  8.96411093e-07 
 2.95120923e+01 -4.05051501e+01  9.17291190e-07 
 3.01995172e+01 -4.05051501e+01  9.38657647e-07 
 3.09029543e+01 -4.05051501e+01  9.60521792e-07 
 3.16227766e+01 -4.05051501e+01  9.82895219e-07 
 3.23593657e+01 -4.05051501e+01  1.00578979e-06 
 3.31131121e+01 -4.05051501e+01  1.02921764e-06 
 3.38844156e+01 -4.05051501e+01  1.05319120e-06 
 3.46736850e+01 -4.05051501e+01  1.07772318e-06 
 3.54813389e+01 -4.05051501e+01  1.10282657e-06 
 3.63078055e+01 -4.05051501e+01  1.12851470e-06 
 3.71535229e+01 -4.05051501e+01  1.15480119e-06 
 3.80189396e+01 -4.05051501e+01  1.18169996e-06 
 3.89045145e+01 -4.05051501e+01  1.20922529e-06 
 3.98107171e+01 -4.05051501e+01  1.23739177e-06 
 4.07380278e+01 -4.05051501e+01  1.26621432e-06 
 4.16869383e+01 -4.05051501e+01  1.29570825e-06 
 4.26579519e+01 -4.05051501e+01  1.32588917e-06 
 4.36515832e+01 -4.05051501e+01  1.35677309e-06 
 4.46683592e+01 -4.05051501e+01  1.38837640e-06 
 4.57088190e+01 -4.05051501e+01  1.42071584e-06 
 4.67735141e+01 -4.05051501e+01  1.45380856e-06 
 4.78630092e+01 -4.05051501e+01  1.48767211e-06 
 4.89778819e+01 -4.05051501e+01  1.52232445e-06 
 5.01187234e+01 -4.05051501e+01  1.55778394e-06 
 5.12861384e+01 -4.05051501e+01  1.59406939e-06 
 5.24807460e+01 -4.05051501e+01  1.63120004e-06 
 5.37031796e+01 -4.05051501e+01  1.66919557e-06 
 5.49540874e+01 -4.05051501e+01  1.70807613e-06 
 5.62341325e+01 -4.05051501e+01  1.74786233e-06 
 5.75439937e+01 -4.05051501e+01  1.78857527e-06 
 5.88843655e+01 -4.05051501e+01  1.83023654e-06 
 6.02559586e+01 -4.05051501e+01  1.87286823e-06 
 6.16595002e+01 -4.05051501e+01  1.91649293e-06 
 6.30957344e+01 -4.05051501e+01  1.96113379e-06 
 6.45654229e+01 -4.05051501e+01  2.00681446e-06 
 6.60693448e+01 -4.05051501e+01  2.05355918e-06 
 6.76082975e+01 -4.05051501e+01  2.10139272e-06 
 6.91830971e+01 -4.05051501e+01  2.15034044e-06 
 7.07945784e+01 -4.05051501e+01  2.20042830e-06 
 7.24435960e+01 -4.05051501e+01  2.25168286e-06 
 7.41310241e+01 -4.05051501e+01  2.30413129e-06 
 7.58577575e+01 -4.05051501e+01  2.35780141e-06 
 7.76247117e+01 -4.05051501e+01  2.41272166e-06 
 7.94328235e+01 -4.05051501e+01  2.46892116e-06 
 8.12830516e+01 -4.05051501e+01  2.52642972e-06 
 8.31763771e+01 -4.05051501e+01  2.58527783e-06 
 8.51138038e+01 -4.05051501e+01  2.64549669e-06 
 8.70963590e+01 -4.05051501e+01  2.70711822e-06 
 8.91250938e+01 -4.05051501e+01  2.77017511e-06 
 9.12010839e+01 -4.05051501e+01  2.83470077e-06 
 9.33254301e+01 -4.05051501e+01  2.90072944e-06 
 9.54992586e+01 -4.05051501e+01  2.96829611e-06 
 9.77237221e+01 -4.05051501e+01  3.03743660e-06 
 1.00000000e+02 -4.05051501e+01  3.10818759e-06 
 1.02329299e+02 -4.05051501e+01  3.18058658e-06 
 1.04712855e+02 -4.05051501e+01  3.25467196e-06 
 1.07151931e+02 -4.05051501e+01  3.33048301e-06 
 1.09647820e+02 -4.05051501e+01  3.40805992e-06 
 1.12201845e+02 -4.05051501e+01  3.48744384e-06 
 1.14815362e+02 -4.05051501e+01  3.56867684e-06 
 1.17489755e+02 -4.05051501e+01  3.65180200e-06 
 1.20226443e+02 -4.05051501e+01  3.73686340e-06 
 1.23026877e+02 -4.05051501e+01  3.82390613e-06 
 1.25892541e+02 -4.05051501e+01  3.91297634e-06 
 1.28824955e+02 -4.05051501e+01  4.00412127e-06 
 1.31825674e+02 -4.05051501e+01  4.09738924e-06 
 1.34896288e+02 -4.05051501e+01  4.19282969e-06 
 1.38038426e+02 -4.05051501e+01  4.29049324e-06 
 1.41253754e+02 -4.05051501e+01  4.39043167e-06 
 1.44543977e+02 -4.05051501e+01  4.49269796e-06 
 1.47910839e+02 -4.05051501e+01  4.59734634e-06 
 1.51356125e+02 -4.05051501e+01  4.70443229e-06 
 1.54881662e+02 -4.05051501e+01  4.81401260e-06 
 1.58489319e+02 -4.05051501e+01  4.92614536e-06 
 1.62181010e+02 -4.05051501e+01  5.04089002e-06 
 1.65958691e+02 -4.05051501e+01  5.15830743e-06 
 1.69824365e+02 -4.05051501e+01  5.27845985e-06 
 1.73780083e+02 -4.05051501e+01  5.40141097e-06 
 1.77827941e+02 -4.05051501e+01  5.52722600e-06 
 1.81970086e+02 -4.05051501e+01  5.65597163e-06 
 1.86208714e+02 -4.05051501e+01  5.78771613e-06 
 1.90546072e+02 -4.05051501e+01  5.92252936e-06 
 1.94984460e+02 -4.05051501e+01  6.06048279e-06 
 1.99526231e+02 -4.05051501e+01  6.20164957e-06 
 2.04173794e+02 -4.05051501e+01  6.34610455e-06 
 2.08929613e+02 -4.05051501e+01  6.49392431e-06 
 2.13796209e+02 -4.05051501e+01  6.64518724e-06 
 2.18776162e+02 -4.05051501e+01  6.79997353e-06 
 2.23872114e+02 -4.05051501e+01  6.95836527e-06 
 2.29086765e+02 -4.05051501e+01  7.12044641e-06 
 2.34422882e+02 -4.05051501e+01  7.28630292e-06 
 2.39883292e+02 -4.05051501e+01  7.45602271e-06 
 2.45470892e+02 -4.05051501e+01  7.62969579e-06 
 2.51188643e+02 -4.05051501e+01  7.80741424e-06 
 2.57039578e+02 -4.05051501e+01  7.98927228e-06 
 2.63026799e+02 -4.05051501e+01  8.17536634e-06 
 2.69153480e+02 -4.05051501e+01  8.36579508e-06 
 2.75422870e+02 -4.05051501e+01  8.56065948e-06 
 2.81838293e+02 -4.05051501e+01  8.76006286e-06 
 2.88403150e+02 -4.05051501e+01  8.96411093e-06 
 2.95120923e+02 -4.05051501e+01  9.17291190e-06 
 3.01995172e+02 -4.05051501e+01  9.38657647e-06 
 3.09029543e+02 -4.05051501e+01  9.60521792e-06 
 3.16227766e+02 -4.05051501e+01  9.82895219e-06 
 3.23593657e+02 -4.05051501e+01  1.00578979e-05 
 3.31131121e+02 -4.05051501e+01  1.02921764e-05 
 3.38844156e+02 -4.05051501e+01  1.05319120e-05 
 3.46736850e+02 -4.05051501e+01  1.07772318e-05 
 3.54813389e+02 -4.05051501e+01  1.10282657e-05 
 3.63078055e+02 -4.05051501e+01  1.12851470e-05 
 3.71535229e+02 -4.05051501e+01  1.15480119e-05 
 3.80189396e+02 -4.05051501e+01  1.18169996e-05 
 3.89045145e+02 -4.05051501e+01  1.20922529e-05 
 3.98107171e+02 -4.05051501e+01  1.23739177e-05 
 4.07380278e+02 -4.05051501e+01  1.26621432e-05 
 4.16869383e+02 -4.05051501e+01  1.29570825e-05 
 4.26579519e+02 -4.05051501e+01  1.32588917e-05 
 4.36515832e+02 -4.05051501e+01  1.35677309e-05 
 4.46683592e+02 -4.05051501e+01  1.38837640e-05 
 4.57088190e+02 -4.05051501e+01  1.42071584e-05 
 4.67735141e+02 -4.05051501e+01  1.45380856e-05 
 4.78630092e+02 -4.05051501e+01  1.48767211e-05 
 4.89778819e+02 -4.05051501e+01  1.52232445e-05 
 5.01187234e+02 -4.05051501e+01  1.55778394e-05 
 5.12861384e+02 -4.05051501e+01  1.59406939e-05 
 5.24807460e+02 -4.05051501e+01  1.63120004e-05 
 5.37031796e+02 -4.05051501e+01  1.66919557e-05 
 5.49540874e+02 -4.05051501e+01  1.70807613e-05 
 5.62341325e+02 -4.05051501e+01  1.74786233e-05 
 5.75439937e+02 -4.05051501e+01  1.78857527e-05 
 5.88843655e+02 -4.05051501e+01  1.83023654e-05 
 6.02559586e+02 -4.05051501e+01  1.87286823e-05 
 6.16595002e+02 -4.05051501e+01  1.91649293e-05 
 6.30957344e+02 -4.05051501e+01  1.96113379e-05 
 6.45654229e+02 -4.05051501e+01  2.00681446e-05 
 6.60693448e+02 -4.05051501e+01  2.05355918e-05 
 6.76082975e+02 -4.05051501e+01  2.10139272e-05 
 6.91830971e+02 -4.05051501e+01  2.15034044e-05 
 7.07945784e+02 -4.05051501e+01  2.20042830e-05 
 7.24435960e+02 -4.05051501e+01  2.25168286e-05 
 7.41310241e+02 -4.05051501e+01  2.30413129e-05 
